,Species,Owner,Country.of.Origin,Farm.Name,ICO.Number,Company,Number.of.Bags,Bag.Weight,Harvest.Year,Processing.Method,Color,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Moisture,Category.One.Defects,Quakers,Category.Two.Defects,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters,TotalScore
18,Arabica,ethiopia commodity exchange,Ethiopia,,010/0056,,150,6,2009/2010,,,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,0.05,0,0,2,m,NA,NA,NA,87.33
19,Arabica,yunnan coffee exchange,China,echo coffee,,yunnan coffee exchange,3,60 kg,2015,Washed / Wet,Green,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,0.1,0,0,0,m,1450,1450,1450,87.25
20,Arabica,essencecoffee,Ethiopia,drima zede,100181006,essence coffee,250,60 kg,2014,Natural / Dry,,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,0,0,0,8,m,1700,2000,1850,87.25
21,Arabica,cqi q coffee sample representative,United States,el rodeo,unknown,coffee quality institute,10,1 kg,2014,Washed / Wet,None,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,0,0,0,0,m,2019,2019,2019,87.25
22,Arabica,the coffee source inc.,Costa Rica,several,5-562-0015,the coffee source inc.,250,3 lbs,2014,Washed / Wet,Green,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,0.11,0,0,2,m,1300,1300,1300,87.17
23,Arabica,roberto licona franco,Mexico,la herradura,0,,14,1 kg,2012,Washed / Wet,Green,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,0.13,0,0,0,m,1320,1320,1320,87.17
24,Arabica,cqi q coffee sample representative,United States,la curva,unknown,coffee quality institute,10,1 kg,2014,Washed / Wet,,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,0,0,0,0,m,2112,2112,2112,87.08
25,Arabica,ji-ae ahn,Ethiopia,,,,100,60 kg,2013,Natural / Dry,Bluish-Green,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,0.11,0,0,1,m,NA,NA,NA,87.08
26,Arabica,nucoffee,Brazil,fazenda kaquend,002/1251/0073,nucoffee,3,60 kg,2011,Natural / Dry,Green,8.5,8.5,8,8,8,8,10,10,10,7.92,0.12,0,0,2,m,1250,1250,1250,86.92
27,Arabica,ethiopia commodity exchange,Ethiopia,,010/0056/Sidamo,,150,6,2009/2010,,,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,0.05,0,0,2,m,NA,NA,NA,86.92
28,Arabica,kabum trading company,Uganda,chebonet (23) women coffee,0,kabum trading company,100,60 kg,2013,Washed / Wet,Green,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,0.12,0,0,1,m,1950,1950,1950,86.83
29,Arabica,bismarck castro,Honduras,los hicaques,13-111-053,cigrah s.a de c.v,275,69 kg,2016,,Green,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,0.1,0,0,3,m,1400,1400,1400,86.67
30,Arabica,"lin, che-hao krude 林哲豪",Taiwan,tsoustructive garden 鄒築園,Taiwan,taiwan coffee laboratory,20,50 kg,2015,Pulped natural / honey,Green,8,8,8,8.25,8,8.17,10,10,10,8.17,0,0,0,0,m,1200,1200,1200,86.58
31,Arabica,nora zeas,Nicaragua,,790-0013,,275,6,,,,7.92,8.25,8,8.33,8,8.08,10,10,10,8,0.08,0,0,2,m,NA,NA,NA,86.58
32,Arabica,specialty coffee-korea,"Tanzania, United Republic Of",,A019116,,100,60 kg,2012,Natural / Dry,Bluish-Green,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,0.11,0,0,1,m,NA,NA,NA,86.5
33,Arabica,nucoffee,Brazil,fazenda recreio,002/1251/0068,nucoffee,29,60 kg,2011,Natural / Dry,Green,8.5,8.17,8,7.75,8,8,10,10,10,8,0.12,0,0,2,m,1300,1300,1300,86.42
34,Arabica,francisco a mena,Costa Rica,exclusive coffees s.a.,5818009,exclusive coffees s.a.,250,2 lbs,2015/2016,Washed / Wet,Blue-Green,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,0,0,0,0,m,1300,1300,1300,86.33
35,Arabica,hider abamecha,Ethiopia,haider abamecha coffee plantation,2014/15,haider abamecha coffee export,320,60 kg,2014,Natural / Dry,Green,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,0.1,0,0,3,m,1750,1800,1775,86.25
36,Arabica,daniel magu,Kenya,kangunu,0,c dorman ltd,320,1 kg,2013,Washed / Wet,Blue-Green,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,0.12,0,0,1,m,1800,1800,1800,86.25
37,Arabica,kona pacific farmers cooperative,United States (Hawaii),,220452,kona pacific farmers cooperative,10,100 lbs,2012,Natural / Dry,,8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,0,1,0,4,ft,NA,NA,NA,86.25
38,Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,HDOA 210128 Kona Fancy,,25,100 lbs,2010,,,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,0,2,0,1,ft,NA,NA,NA,86.25
39,Arabica,ethiopia commodity exchange,Ethiopia,"phone number | 0911-51-08-01, email | at",010/0170,,300,6,2009/2010,,,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,0.1,0,0,2,m,NA,NA,NA,86.25
40,Arabica,cqi q coffee sample representative,United States,la primavera,unknown,coffee quality institute,10,1 kg,2014,Washed / Wet,,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,0,0,0,0,m,1941,1941,1941,86.17
41,Arabica,itdp international,Thailand,co-op #12,01-011-512,lanna cafe,53,1 kg,2012,Washed / Wet,Green,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,0.1,1,0,9,m,1300,1300,1300,86.17
42,Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,002/1352/0045,,300,60 kg,2010,,,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,0.08,0,0,2,m,12,12,12,86.17
43,Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,002/1352/0045,,300,60 kg,2010,,,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,0.01,0,0,3,m,12,12,12,86.17
44,Arabica,"lin, che-hao krude 林哲豪",Taiwan,sunshine valley estate 向陽高山咖啡,Taiwan,taiwan coffee laboratory,10,15 kg,2015,Semi-washed / Semi-pulped,Green,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,0.12,0,0,0,m,1000,1000,1000,86.08
45,Arabica,jungle estate,Kenya,jungle estate,NIL,keremara limited,12,60 kg,2014,Natural / Dry,Bluish-Green,8.08,8.08,8,8,7.83,8.08,10,10,10,8,0.11,0,0,2,m,1754,1754,1754,86.08
46,Arabica,nucoffee,Brazil,fazenda kaquend,002/1251/0071,nucoffee,7,60 kg,2011,Semi-washed / Semi-pulped,Blue-Green,8.33,8,8,8,7.75,8,10,10,10,8,0.11,0,0,2,m,1250,1250,1250,86.08
47,Arabica,great lakes coffee uganda,Uganda,kaasayi,0,ucda,1,60 kg,2014,Semi-washed / Semi-pulped,,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,0,0,0,0,m,NA,NA,NA,86
48,Arabica,lusso lab,Colombia,ecobio colombia,NONE,lusso coffee lab,1,2 kg,2013,Washed / Wet,Green,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,0.12,1,0,1,m,900,1500,1200,86
49,Arabica,lusso lab,Kenya,kianjavi,NONE,lusso coffee lab,1,1 kg,2013,Washed / Wet,Green,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,0.11,0,0,1,m,1520,2200,1860,86
50,Arabica,afca,Uganda,,x,kawacom uganda ltd,1,60 kg,2012,Washed / Wet,Blue-Green,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,0.1,0,0,0,m,1400,1900,1650,86
51,Arabica,ethiopia commodity exchange,Ethiopia,contact | sidacoop@ethionet.net,010/0145,,300,6,2009/2010,,,7.75,8.08,8,8.25,8,8,10,10,10,7.92,0.01,0,0,4,m,1500,2000,1750,86
52,Arabica,grounds for health admin,United States (Hawaii),hula daddy kona coffee,,,1,2,Fall 2009,,,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,0,0,0,0,ft,426.72,426.72,426.72,86
53,Arabica,juan luis alvarado romero,Guatemala,la esperanza y anexos,11/23/0252,"unex guatemala, s.a.",80,69 kg,2016,Washed / Wet,Green,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,0.1,0,1,3,m,NA,NA,NA,85.92
54,Arabica,kawacom uganda ltd,Uganda,sipi organic coffee project,0,kawacom uganda ltd,1,60 kg,2013,Natural / Dry,Green,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,0.12,0,0,0,m,1400,1900,1650,85.92
55,Arabica,exportadora de cafe condor s.a,Colombia,,3-68-0215,exportadora de cafe condor s.a,275,70 kg,2013,Washed / Wet,Blue-Green,8,8,8,8.17,7.83,8,10,10,10,7.92,0,1,0,0,m,1800,1800,1800,85.92
56,Arabica,gonzalo hernandez,Panama,la berlina estate,,ce specialty s.a.,37,60 kg,2017,Washed / Wet,Bluish-Green,8,8,7.92,8.08,7.83,8,10,10,10,8,0.08,0,1,0,m,1600,1600,1600,85.83
57,Arabica,ibrahim hussien speciality coffee producer &export,Ethiopia,,2014/2015,ibrahim hussien specality coffee product & exporter,320,60 kg,2014,Washed / Wet,Green,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,0.1,0,0,4,m,1800,2000,1900,85.83
58,Arabica,juan luis alvarado romero,Guatemala,valparaiso,11/1886/03,sertrasa,150,1 kg,2012,Washed / Wet,Green,7.83,8,8,8.17,7.83,8,10,10,10,8,0.12,0,0,3,ft,1524,1524,1524,85.83
59,Arabica,juan luis alvarado romero,Guatemala,finca el limon,11-853-155,unicafe,275,1 kg,2012,Washed / Wet,Bluish-Green,8,8,7.83,8.33,7.83,7.83,10,10,10,8,0.1,0,0,1,ft,1417.32,1417.32,1417.32,85.83
60,Arabica,seid damtew coffee planataion,Ethiopia,seid damtew coffee planation,490,seid damtew coffee planation,320,19200 kg,2017,Natural / Dry,None,7.83,8,7.83,8.17,7.92,8,10,10,10,8,0.09,0,4,7,m,NA,NA,NA,85.75
61,Arabica,dane loraas,Peru,,030-0537-2066,sustainable harvest,280,5 lbs,2013,Washed / Wet,Green,8,8,8,8.08,7.92,7.75,10,10,10,8,0.1,4,0,6,m,NA,NA,NA,85.75
62,Arabica,"colbran coffeelands, ltd.",Papua New Guinea,tairora cherry – bonta,25072012,cqi,7,60 kg,2012,Washed / Wet,Bluish-Green,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,0.12,0,0,1,m,1700,1700,1700,85.75
63,Arabica,atlantic specialty coffee,El Salvador,el majahual,09 – 060-24,atlantic specialty coffee,275,2 kg,2013,Washed / Wet,Blue-Green,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,0.1,0,0,3,m,1500,1500,1500,85.58
64,Arabica,lusso lab,El Salvador,finca la esmeralda,,lusso coffee lab,19,1 kg,2012,Semi-washed / Semi-pulped,None,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,0.11,0,0,0,m,1300,1400,1350,85.58
65,Arabica,kona pacific farmers cooperative,United States (Hawaii),,220451,kona pacific farmers cooperative,8,100 lbs,2012,Natural / Dry,,7.83,8,7.92,7.75,8.08,8,10,10,10,8,0,0,0,1,ft,NA,NA,NA,85.58
66,Arabica,essencecoffee,Panama,elida estate,290503,essence coffee,100,60 kg,2014,Natural / Dry,,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,0.09,2,0,2,m,1680,1680,1680,85.5
67,Arabica,essencecoffee,Kenya,inoi,3707361715,essence coffee,16,60 kg,2014,Natural / Dry,Green,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,0.1,0,0,3,m,1900,1900,1900,85.5
68,Arabica,assefa belay coffee producer,Ethiopia,,2015,assefa belay coffee producer,320,60 kg,2015,Natural / Dry,Green,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,0.12,0,0,7,m,1800,2000,1900,85.5
69,Arabica,kyagalanyi ltd,Uganda,buginyanya,0,kyagalanyi coffee ltd,320,60 kg,2013,Washed / Wet,Green,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,0.12,0,0,1,m,1600,1600,1600,85.5
70,Arabica,juan luis alvarado romero,Guatemala,asoperc,11-52-492,exportcafe,250,69 kg,2013,Washed / Wet,Green,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,0.11,0,0,1,ft,1706.88,1755.648,1731.264,85.5
71,Arabica,assefa belay coffee producer,Ethiopia,,2015,assefa belay coffee producer,320,60 kg,2015,Washed / Wet,Green,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,0.1,0,0,18,m,1800,2000,1900,85.42
72,Arabica,great lakes coffee uganda,Uganda,chesiyo farmer group,0,great lakes coffee,150,60 kg,2013,Washed / Wet,Green,8.08,8,7.83,7.67,8,7.83,10,10,10,8,0.12,0,0,5,m,1950,1950,1950,85.42
73,Arabica,kona pacific farmers cooperative,United States (Hawaii),,220453,kona pacific farmers cooperative,8,100 lbs,2012,Natural / Dry,,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,0,4,0,6,ft,NA,NA,NA,85.42
74,Arabica,nucoffee,Brazil,fazenda serra de três barras,002/1251/0072,nucoffee,5,60 kg,2011,Semi-washed / Semi-pulped,Blue-Green,8,8,8,7.67,7.75,8,10,10,10,8,0.11,0,0,1,m,1250,1250,1250,85.42
75,Arabica,grounds for health admin,El Salvador,sierra nevada,9-060-60D-L-1D,,2,"1 kg,lbs",2009 / 2010,,,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,0.01,0,0,0,m,1400,1400,1400,85.42
76,Arabica,yunnan coffee exchange,China,pu'er city longke coffee co.ltd,,yunnan coffee exchange,3,60 kg,2015,Natural / Dry,Green,8,8,8,7.83,7.83,7.75,10,10,10,7.92,0.1,0,0,0,m,1700,1700,1700,85.33
77,Arabica,essencecoffee,Guatemala,el injerto s.a.,11999144,essence coffee,36,30 kg,2014,Natural / Dry,Green,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,0.11,0,0,1,m,1770,1770,1770,85.33
78,Arabica,the coffee source inc.,Costa Rica,several,5-562-0006,the coffee source inc.,250,3 lbs,2014,Washed / Wet,Bluish-Green,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,0,0,0,0,m,1300,1300,1300,85.33
79,Arabica,the coffee source inc.,Costa Rica,several,5-562-0016,the coffee source inc.,250,3 lbs,2014,Washed / Wet,Bluish-Green,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,0.1,0,0,2,m,1300,1300,1300,85.33
80,Arabica,rashid moledina & co. (msa) ltd.,Kenya,,37/672/0017,rashid moledina & co. (msa) ltd,20,60 kg,2012,Washed / Wet,Green,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,0,0,0,2,m,1600,1600,1600,85.33
81,Arabica,ibero kenya limited,Kenya,,37/00597/0252 - AB FAQ Q certified,ibero kenya limited,300,60 kg,2012,Washed / Wet,Green,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,0,0,0,6,m,1200,1200,1200,85.33
82,Arabica,ethiopia commodity exchange,Ethiopia,phone number | 0911-513824 email: gmt.ft,010/0157,,360,6 kg,2009/2010,,,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08,0.05,0,0,2,m,NA,NA,NA,85.33
83,Arabica,ethiopia commodity exchange,Ethiopia,,010/0001/0022,,300,6,2009/2010,,,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,0.1,0,0,3,m,NA,NA,NA,85.33
84,Arabica,juan luis alvarado romero,Guatemala,la esperanza y anexos,11/23/0177,"unex guatemala, s.a.",250,69 kg,2016,,Green,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,0.1,0,2,2,m,NA,NA,NA,85.25
85,Arabica,exportadora de cafe condor s.a,Colombia,various,3-68-0102,exportadora de cafe condor s.a,275,70 kg,2015,Washed / Wet,Green,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,0.11,0,0,0,m,1550,1550,1550,85.25
86,Arabica,compañia colombiana agroindustrial s.a,Colombia,,3-79-0634,ecom cca sa,250,70 kg,2014,Natural / Dry,Green,7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,0.12,0,0,2,m,1550,1550,1550,85.25
87,Arabica,"nomura trading co., ltd.",Indonesia,,,"nomura trading co., ltd.",54,60 kg,2012,Semi-washed / Semi-pulped,Green,7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,0.11,0,0,3,m,1250,1400,1325,85.17
88,Arabica,the coffee source inc.,Guatemala,coop. hoja blanca - fedecocagua,11-30-0593,the coffee source inc.,250,1 kg,2012,Washed / Wet,,8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,0,0,0,7,m,1400,1400,1400,85.17
89,Arabica,seid damtew coffee planataion,Ethiopia,seid damtew coffee planation,495,seid damtew coffee planation,320,19200 kg,2016,Natural / Dry,Green,7.75,8,7.58,8,8,7.92,10,10,10,7.83,0.11,0,1,8,m,NA,NA,NA,85.08
90,Arabica,carcafe ltda ci,Colombia,,3-59-3115,carcafe ltda,250,70 kg,2015,Natural / Dry,,8.17,7.83,7.58,8.08,8,7.75,10,10,10,7.67,0,0,0,0,m,2560,2560,2560,85.08
91,Arabica,steven kil,Ethiopia,aricha coop,,the specialty coffee appraisers institute of asia,100,60 kg,2014,Natural / Dry,Green,8.42,8,7.42,8,7.92,7.92,9.33,10,10,8.08,0.1,2,0,7,m,1700,1700,1700,85.08
92,Arabica,eileen koyanagi,United States (Hawaii),,KP 022014,kona pacific farmers cooperative,12,100 lbs,2014,Natural / Dry,Bluish-Green,7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,7.92,0.11,2,0,2,ft,NA,NA,NA,85.08
93,Arabica,carcafe ltda ci,Colombia,,3-59-0951,carcafe ltda,250,70 kg,2012,Natural / Dry,Green,7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08,0.11,0,0,8,m,2136,2136,2136,85.08
94,Arabica,kona pacific farmers cooperative,United States (Hawaii),,,,13,100 lbs,2010-2011,,,8.08,8.17,7.92,8,8.08,8,9.33,9.33,10,8.17,0.01,1,0,7,ft,NA,NA,NA,85.08
95,Arabica,ethiopia commodity exchange,Ethiopia,,010/0058/Sidamo,,360,6,2010,,,7.67,8,7.83,8,7.92,7.83,10,10,10,7.83,0,0,0,5,m,NA,NA,NA,85.08
96,Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,HDOA 210310,,27,0 lbs,,,,7.5,7.92,8.25,7.83,7.92,7.75,10,10,10,7.92,0,0,0,0,ft,NA,NA,NA,85.08
97,Arabica,kyagalanyi coffee ltd,Uganda,mount elgon area,,kyagalanyi coffee ltd,200,60 kg,2016,Washed / Wet,Green,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,0.11,0,0,1,m,1800,1800,1800,85
98,Arabica,racafe & cia s.c.a,Colombia,,3-37-1829,racafe & cia s.c.a,135,70 kg,2016,Washed / Wet,Green,8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83,0,0,0,3,m,NA,NA,NA,85
99,Arabica,troy quimby,Costa Rica,estate la patricia,,bold coast coffee,36,46 kg,2016,Washed / Wet,Green,7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,0.12,1,1,1,m,1900,1900,1900,85
100,Arabica,"el equimite, cafetal biodinámico",Mexico,various,,"cafetal el equimite, rancho agroecológico, s.p.r. de r.l.",1,30 kg,2015,Washed / Wet,Green,7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08,0.09,0,0,3,m,1300,1300,1300,85
101,Arabica,simon mahinda,Kenya,,,c dorman ltd,170,60 kg,2015,Washed / Wet,Green,8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,7.83,0.11,0,5,7,m,1,1,1,85
102,Arabica,rashid moledina & co. (msa) ltd.,Kenya,machure estate,37/672/0016,rashid moledina & co. (msa) ltd,38,60 kg,2012,Washed / Wet,Green,7.75,7.83,7.75,8.08,8,7.75,10,10,10,7.83,0,0,0,5,m,1580,1580,1580,85
103,Arabica,nucoffee,Brazil,sitío são geraldo,002/1251/0242,nucoffee,31,60 kg,2012,Natural / Dry,Green,8,8,7.83,7.83,7.67,7.67,10,10,10,8,0.12,0,0,3,m,1100,1100,1100,85
104,Arabica,young kim,Mexico,kassandra,016-2484-04,,1,1 kg,2010-2011,,,7.92,8.17,7.75,8.08,7.42,7.83,10,10,10,7.83,0,0,0,0,m,1400,1400,1400,85
105,Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,HDOA#210306,,15,100 lbs,,,,7.75,7.92,7.75,7.75,8,8,10,10,10,7.83,0,0,0,1,ft,NA,NA,NA,85
106,Arabica,carl walker,Guatemala,la igualdad,11-194-0014,,275,69 kg,2009/2010,,,7.83,8.08,7.67,8,7.75,7.67,10,10,10,8,0.04,0,0,1,ft,1066.8,1584.96,1325.88,85
107,Arabica,racafe & cia s.c.a,Colombia,,3-37-0277,racafe & cia s.c.a,243,70 kg,2016,Washed / Wet,,7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,7.83,0,1,6,2,m,NA,NA,NA,84.92
108,Arabica,racafe & cia s.c.a,Colombia,,3-37-4824,racafe & cia s.c.a,252,70 kg,2015,Washed / Wet,Green,7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,0.12,0,0,1,m,1600,1950,1775,84.92
109,Arabica,"lin, che-hao krude 林哲豪",Taiwan,baishengcun coffee 百勝村咖啡莊園,Taiwan,taiwan coffee laboratory,20,40 kg,2015,Semi-washed / Semi-pulped,Green,7.67,7.83,8,7.58,8,7.92,10,10,10,7.92,0.11,0,0,0,m,800,800,800,84.92
110,Arabica,taylor winch (t) ltd,"Tanzania, United Republic Of",hasambo amcos,C47,taylor winch (t) ltd,134,60 kg,2014,Washed / Wet,Green,8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83,0.12,0,0,2,m,1620,1620,1620,84.92
111,Arabica,racafe & cia s.c.a,Colombia,,3-37-0416,racafe & cia s.c.a,50,70 kg,2012,Washed / Wet,Green,7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,0.11,0,0,3,m,1600,1950,1775,84.92
112,Arabica,artemio zapata tejeda,Mexico,el suspiro,1104385872,,25,1 kg,2012,Semi-washed / Semi-pulped,,7.75,8,7.75,7.83,7.5,7.92,10,10,10,8.17,0.11,0,0,0,m,1200,1200,1200,84.92
113,Arabica,nucoffee,Brazil,fazenda grota funda,002/1251/0070,nucoffee,4,60 kg,2011,Natural / Dry,Green,8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,0.11,0,0,2,m,1200,1200,1200,84.92
114,Arabica,nucoffee,Brazil,sitio claro,002/1251/0066,nucoffee,10,60 kg,2011,Natural / Dry,Green,8,8,7.75,8,7.5,7.75,10,10,10,7.92,0.12,0,0,2,m,1000,1000,1000,84.92
